Bid No,Item Category,Searched Strings,Searched Result,Relevant Categories,Matched Category,Match Label,Match Score
GEM/2026/B/7808167,"REINFORCED LCC BLOCK MARK-A FOR ABF-I_ 1000075054 , REINFORCED LCC BLOCK MARK-B_ 1000075054",REINFORCED LCC BLOCK,"Wooden block, Calibration Block, Aac Block-IS:6041, Wrap Block (Textile), Commercial Idli Steamer, Dry Block Heater, Plummer Block Assembly, Leaf Colour Chart (V2), Terminal Block Assembly - BHEL, Self Priming Pump Conforming To IS 5120",High Alumina bricks (RINL) Alumina Castable Refractory High Alumina Bricks-IS: 14313,Aac Block-IS:6041,Weak — review,46%
GEM/2026/B/7759718,Mixer Grinder,Mixer Grinder,"Domestic Electric Food Mixers (Liquidizers and Grinders) (V2) ISI Marked To IS 4250, vortex mixers, Angle Grinder, Pneumatic Grinder, Straight Grinder (V2), Ribbon Blender Mixer, Audio Mixer (V2), Pencil Die Grinder (V2), Bench Pedestal Grinder (V2), Self Propelled Auto Batch Mixer",Domestic Electric Food Mixers (Liquidizers and Grinders) (V2) ISI Marked To IS 4250 Wet Grinder Athanu Maker Kit (Gujarat Govt),Straight Grinder (V2),Weak — review,65%
GEM/2026/B/7883865,Dehumidifier & Enviornmental Control Unit,Dehumidifier & Enviornmental Control Unit,"Desiccant Dehumidifier, Sanitary Napkins Incinerator Machine with Smoke Control Unit, Pendant control station, Computer Table (V3), Hardware Based Video Conferencing Multipoint Control Unit (MCU), Software Based Video Conferencing Multipoint Control Unit (MCU), Low Voltage MCCB with Thermal Magnetic Electronic Trip Unit Conforming To IS IEC 60947 (Part 2), Thyristor Power Unit, Wooden Shelf Case Rack Credenza Modular Storage (V2), Hybrid Charge Controller",Panel Air Conditioner Precision Air Conditioner Desiccant Dehumidifier,Desiccant Dehumidifier,Weak — review,72%
GEM/2026/B/7620633,Deep Freezer,Deep Freezer,"Deep freezer, Ultra low temperature laboratory deep freezer, Laboratory Deep Freezer (V2), Deep Freezer For Universal Immunization Program, Deep Freezer Marked to IS 7872 (Under BIS Scheme 1) (V2), Single Row Deep Groove Ball Bearing (Without Flange Outer Ring) as per IS 6455, Deep well plates, Single Burner Gas Deep Fryer, Parallel Bar - Outdoor Gym Equipment, Deep Search Mine Metal Detector as per (MHA) QRs",Laboratory Deep Freezer (V2) Deep freezer Ultra low temperature laboratory deep freezer,Deep freezer,Strong match,100.0 / 100
GEM/2026/B/7866456,25 HP OBM,25 HP OBM (Make- Mercury),"High Pressure Mercury Vapour Lamps Conforming To IS 9900, Industrial Siren Electrical Siren, HDPE Boat or Rescue ships or boats, Safety Relief Valves- Spring Loaded, PET bottle shredder",Out Board Motor for Rescue Boats (Marine propellers) HDPE Boat or Rescue ships or boats,Machine Vice as per IS 4502,Weak — review,40%
GEM/2026/B/7870330,3-Part Hematology Analyzer (Fully-Automated),3-Part Hematology Analyzer (Fully-Automated),"Hematology Analyzer (Fully-Automated), Fully Automated Immunohematology Analyzer, Fully Automatic Biochemistry Analyzer (V2), Fully Automated Coagulation Analyzer (V2), Fully Automated Urine Analyzer, Fully Automated Nephelometer, Fully Automated Dry Chemistry Analyzer, Semi Automated Coagulation Analyzer (V2), Veterinary Hematology Analyzer (V2), Semi Automated Urine Analyzer",Hematology Analyzer (Fully-Automated),Hematology Analyzer (Fully-Automated),Strong match,91.4 / 100
GEM/2026/B/7772182,"PROCUREMENT OF PERSONAL SMART DEVICES, INS SATAVAHANA","PROCUREMENT OF PERSONAL SMART DEVICES, INS SATAVAHANA","Drinking Water Coolers (V4) ISI Marked To IS 1475, Solar Thermo-Reflective Exterior Coating For Cooling Of Roof Top- IS:17218",AutomationTestCategory_DoNotUse,Smartphones (V3),Weak — review,43%
GEM/2026/B/7811181,ANTI COLLISION DEVICE FOR EOT CRANES (Ref PR no 4203085454),"ANTI COLLISION DEVICE FOR EOT CRANES, CONSISTING OF IR SENSOR, SMPS & ELECTROMECHANICAL RELAY HOUSED IN A IP55 METALLIC SHEET ENCLOSURE. ANTI COLLISION DEVICE FOR EOT CRANES (1) NORMAL SENSING DISTANCE: 0 -10 METRES WITH ADJUSTABLE POTENTIOMETER (2) TYPE: RETRO- REFLECTIVE (3) LIGHT SOURCE: INFRARED (4) POWER SUPPLY: RATED VOLTAGE 24V DC, SHALL BE SUPPLIED VIDE SMPS (5) OUTPUTS :2 NOS RELAY OUTPUTS WITH TWO NO POTENTIAL FREE AUX. CONTACT HAVING RATING 220V AC, 7 AMP (Minimum) (6) ONE LED FOR SUPPLY AND ONE LED FOR OUTPUT STATUS (7) REFLECTOR:1NO OF REFLECTOR,REFLECTOR SIZE:609MMX609MM (8)ENCLOSURE FOR SENSOR:SHEET STEEL ENCLOSURE, CONFIRMING TO IP 55 (9) AMBIENT TEMPERATURE 55 DEGREE MINIMUM. (10) LASER SWITCH FOR ALLIGNMENT. ELECTROMECHANICAL RELAY, COIL VOLTAGE 24V DC, CONTACT RATING 7A (MINIMUM) ACCEPTABLE MAKE: ABB, BCH, C&S, L&T, SCHNEIDER, SIEMENS, ANDREW YULE, SPRECHER & SCHUH, EATON, ROCKWELL AUTOMATION-ALLEN BRADLEY, OEN SMPS INPUT POWER SUPPLY SHALL BE AC &DC 24 VDC SMPS 10 AMPS MINIATURE SIZE, INPUT THREE-PHASE 340 ~ 550VAC (DUAL PHASE OPERATION POSSIBLE) 480 ~ 780 VDC PROTECTION FROM OVER VOLTAGE, OVER CURRENT AND SHORT CIRCUIT COOLING BY FREE AIR CONVECTION, AMBIENT 70 DEG C, DIN RAIL MOUNTED OVERLOAD PROTECTION TYPE: 105 ~ 130% RATED OUTPUT POWER CONSTANT CURRENT LIMITING, UNIT WILL SHUT DOWN AFTER 3 SEC. ,RE-POWER ON TO RECOVER"" ACCEPTABLE MAKE: APLAB, COSSEL, PHOENIX CONTACT, SIEMENS, WAGO",Category not available on GeM for the text string uploaded by the buyer,Resistance Monitoring Device,EOT Crane,Weak — review,60%
GEM/2026/B/7871701,P-75 Blanking of Oxy Sys for Cockpit PR Check,P-75 Blanking of Oxy Sys for Cockpit PR Check,Category not available on GeM for the text string uploaded by the buyer,Printed Circuit Board Low Voltage Surge Protective Devices Connected to Low Voltage Power Systems Conforming To IS 16463 (Part 11),Oxygen Purity Meter for Oxygen Concentrator,Weak — review,37%
GEM/2026/B/7593390,"Supply, Erection and Commissioning of 40 Ton Variable Speed Job Rotator",40T variable speed Positioner,Variable Voltage Variable Frequency Drive,Welding Positioner Manipulators Turn Tables,Tractor Operated Rotavator (V2),Weak — review,50%
GEM/2026/B/7890991,CONVEYORS GRAVITY ROLLERS,CONVEYORS GRAVITY ROLLERS,"Patient shifting rollers (V2), Gravity Feed Infusion Sets (Single Use) Conforming to IS ISO 8536-4, Rubber Rollers (BHEL), Conveyor and Elevator Textile Belting (Fire Resistant Belting for Surface Application) (V2) conforming to IS 1891 (Part 5), Specific Gravity Separator, Roller Blind (V2), Centrifugal Gravity Concentrator, Aerial Roller, Tapered Bearings as per IS 12102, Gravity Feed Transfusion Set Conforming to IS ISO 1135 (Part 4)",Conveyor and Elevator Textile Belting (Fire Resistant Belting for Surface Application) (V2) conforming to IS 1891 (Part 5),Roller Container (V2),Weak — review,65%
GEM/2026/B/7710661,TITANIUM BAR ROUND 20MM DIA,TITANIUM BAR ROUND 20MM DIA,"Rectangular Trapezoidal Brass Bar - Half Hard-Half Round Edge and Profiles (BHEL), Parallel Bar - Outdoor Gym Equipment, Alloy Steel Round Bars (BHEL), Towel Rail, Titanium Dioxide as per IS: 2529, Bathroom Water Shower (V2), Carbon And Alloy Steel Round Bars (BHEL Trichy), Cloth Dryer Stand, High Alloy Creep Steel Round Bars (BHEL), T - Shirt Round Neck Disruptive Pattern (MHA)",Alloy Steel Round Bars (BHEL),Copper Tube 35 mm-OFB,Weak — review,50%
GEM/2026/B/7620923,Refrigerator,Refrigerator,"Laboratory Refrigerator (V2), Refrigerated Centrifuge For General And Research Purpose, Ice Lined Refrigerator, Refrigerator Truck for Vaccine Transport, Non Refrigerated Centrifuge for General Purpose and research, Frost Free Refrigerator Training Jig(DVET), Household Refrigerating Appliances as per IS 17550, Solar direct drive combined refrigerator freezer(small), insulated vaccine delivery van, Reverse Osmosis based Water Treatment System above 50 LPH Capacity (V2)",Laboratory Refrigerator (V3) Laboratory Refrigerator Ice Lined Refrigerator,Laboratory Refrigerator (V3),Weak — review,64%
GEM/2026/B/7781439,REDUCTION GEAR 1: 10 FOR TORQUE UPTO 20-100 KG,REDUCTION GEAR 1:10 FOR TORQUE UPTO 20-100 KG,"(HDPE) (PP) Woven Sacks for Packaging 10 kg, 15 kg, 20 kg, 25 kg and 30 kg Foodgrains ISI marked to IS 16208, Set of Used Light Weight Jute Sacking Bags for Packing 50 Kg Food Grain (1 Set = 100 Bags), Single Use Sterile Hypodermic Syringes for Human Use Conforming to IS 10258 (Part 1), Porcelain Insulators For Overhead Power Lines with Nominal Voltage up to and Including 1000 V Conforming To IS 1445, PP Plastic Woven Non - Laminated Bags (for Seed Packaging) (V2), Bag Calico- OFB","(HDPE) (PP) Woven Sacks for Packaging 10 kg, 15 kg, 20 kg, 25 kg and 30 kg Foodgrains ISI marked to IS 16208",Gear couplings,Weak — review,55%
GEM/2026/B/7626766,Hub forgings,Hub forgings,"Retrofit Kit Hub Drive System for Tricycles (ALIMCO), COLLET CHUCK, Pipe Fitting For Carbon Steel Forgings For Piping Applications, Carbon Steel Forgings For General Engineering Purposes-IS:2004, Blind flange, Turning and Milling Inserts (BHEL), Docking Station for Body Worn Camera, Revolving Chair (V5), Allen Bolt, Battery Operated Combitool",Carbon Steel Forgings For General Engineering Purposes- IS:2004,Gear Shaper,Weak — review,45%
GEM/2026/B/7813085,"SINGLE ROW CYLINDRICAL ROLLER BEARING SKF NU424 , SINGLE ROW CYLINDRICAL ROLLER BEARING SKF NJ330ECML , SINGLE ROW CYLINDRICAL ROLLER BEARING SKF NJ416",SINGLE ROW CYLINDRICAL ROLLER BEARING SKF NJ416,"Cylindrical Roller bearing set, Single Row Deep Groove Ball Bearing (Without Flange Outer Ring) as per IS 6455, Self- Aligning Roller Bearings, Tapered Bearings as per IS 12102",Cylindrical Roller bearing set,Cylindrical Roller bearing set,Likely match,69%
GEM/2026/B/7728241,PROCUREMENT OF DENSITY MEASURING DEVICE DMA 35EX,PROCUREMENT OF DENSITY MEASURING DEVICE DMA 35EX,"Kabaddi Mat (V2), Live Remote Temperature and Humidity Monitoring and Alert System",AutomationTestCategory_DoNotUse,Density meter,Weak — review,61%
GEM/2026/B/7778687,TROLLEY FOR MAIN ROTOR BLADE,TROLLEY FOR MAIN ROTOR BLADES,"Inverter Battery Trolley, Main Line Pumping Unit for Liquid Handling (IOCL), Replacement Wood Cutting Blades for Reciprocating Saw, Handles for Detachable Surgical Blades (Bard Parker Type) Conforming to IS 3319, Rotor for 19.5 MW Steam Turbine Generator (BHEL), Fan Blades for Cooling Tower fan Rev 1, Intubation Laryngoscopes for Anesthesia Procedures (V2), Passengers Hand Baggage Trolleys, Shrub Master, Hydraulic Jacks for Automobiles Conforming to IS 4552 (Part 2)",Instrument Trolley for Hospitals (V2),Platform Trolley (V3),Weak — review,59%
GEM/2026/B/7836028,Refractory Funnel,Refractory Funnel,"funnel stand, Seperating funnels, Funnel Plastic, Plastic Refractory, Alumina Castable Refractory, Insect Pheromone Bait Trap, WHYTHEAT A (Refractory Castable), Refractory Bricks and Similar Refractory Ceramics from Paschim Bardhaman - ODOP, Chromite For Refractory Industry Conforming to IS 10819, Dolomite For Metallurgical (For Steel Industry) And Refractory Use conforming to IS 10346",Alumina Castable Refractory Refractory Bricks and Similar Refractory Ceramics from Paschim Bardhaman - ODOP,Seperating funnels,Weak — review,75%
GEM/2026/B/7839674,"STUFFING BOX BARREL FOR CARBOMATE PUMP & AMMONIA FEED PUMP-10 , STUFFING BOX BARREL FOR CORBONATE PUMP & AMMONIA FEED PUMP -20",STUFFING BOX BARREL FOR AMMONIA FEED PUMP J131 A B MODEL KD827,Category not available on GeM for the text string uploaded by the buyer,Descaling Pump,Barrel Pump - BHEL,Weak — review,55%
GEM/2026/B/7775980,Battery Powered Strapping Tool,Battrey powered box strapping tool,"Box Strapping Machine, Battery powered crimping tool, Cantilever Tool Box, Tool Box - BHEL, BOX TOOLS 1A(OFB- DEFENCE), Electrical Extension Box (V4), Hand Held Brush Cutter (V2), Power Distribution Box",Strapping Roll,Battery powered crimping tool,Weak — review,68%
GEM/2026/B/7867128,Spares Parts of Weller SMD Rework Station,Spares Parts of Weller SMD Rework Station,"SMD Rework Station, Spares For Coal Mills Of Thermal Power Stations (GSECL)",SMD Rework Station,SMD Rework Station,Likely match,86%
GEM/2026/B/7804017,Non Mydiatric Hand Held Fundus Camera,Non Mydriatic Hand Held Fundus Camera,Hand Held Wireless Real Time Viewing System as per MHA QR,Digital Fundus Camera (V2),Digital Fundus Camera (V2),Weak — review,69%
GEM/2026/B/7793469,Coblator Radio Frequency Generator System,Coblator Radio Frequency Generator System,"Radio Frequency Coaxial Cable, High Frequency Radio Surgery Unit, function generator, Very high frequency marine transceiver, Portable Emergency LED Lighting Tower System with AC Generator Set, Digital UHF Hand-Held Radio Sets as per MHA QR (V2), RF Radio NMS, Static Single Frequency Repeater Station (UP State), RFID Tag (V2), Automatic Milk Collection Unit with Electronic Milk Analyzer and Adulteration testing",High Frequency Radio Surgery Unit,Signal Generator,Weak — review,53%
GEM/2026/B/7849718,PARKER AEROSPACE QUALITY O-RINGS & SEALS,PARKER AEROSPACE QUALITY O-RINGS & SEALS,"Rubber Seals Joint Rings for Water Supply, Drainage and Sewerage Pipelines as per IS 5382, O-Ring Kit",Fluid Power Systems O-Rings Conforming to IS 17891,Aerospace sealant,Weak — review,57%
GEM/2026/B/7871825,SET OF LIGHTERS AND FLASH REDUCER,SET OF LIGHTER AND FLASH REDUCER COVER WITH GASKET CONSISTING OF. (I) BAG OF LIGHTER LOWER AS PER DRAWING TRD-2.1.3470 & TRD- 2.1.3471 QTY.1 NO. (II) BAG AS LIGHTER UPPER AS PER DRAWING TRD- 2.1.3474 & TRD-2.1.3475 QTY.1 NO. (III) GASKET AS PER DRAWING TRD- 2.1.3473 SHEET 1 (DIA D = 125+ -5MM) QTY 3 NOS AND SHEET 2 (DIA D = 95+ -5MM) QTY.1 NOS. (IV) BAG OF FLAS REDUCER AS PER DRAWING TRD 2.1.3472 QTY.1 NOS,Category not available on GeM for the text string uploaded by the buyer,Bomb Suit (Version 2) (MHA),Lighting Box (Flasher For Police Vehicles),Weak — review,49%
GEM/2026/B/7877323,"Cat. No. 09000138002 Spares inlet silencer for seal air fan , Cat. No. 09000138003 Spares HDBE filter for seal air fan , Cat. No. 09000138004 Spares Inlet flexible connection for Seal air fan , Cat. No. 09000138005 Spares outlet Flexible connection for Seal air fan , Cat. No. 09000138006 Spares outlet butterfly damper with pneumatic actuator for seal air fan",Cat. No. 09000138006 Spares outlet butterfly damper with pneumatic actuator for seal air fan,Category not available on GeM for the text string uploaded by the buyer,Centrifugal Fan Blower,Positive Pressure Ventilation Fan Blower,Weak — review,43%
GEM/2026/B/7875985,Mice for Experimental Research,Search String: {Strain#: 000632} B6.Cg-Lepob J Common Name: B6 ob Genotype: Homozygous for Lep Age BW: 5-6 Weeks(Male Female),Category not available on GeM for the text string uploaded by the buyer,Dogs (Defence) Police Dogs (V1),Mice and Rat Restrainers,Weak — review,63%
GEM/2026/B/7868517,"Prog. Temp. TRNSMTR, MD-SINEAX V624 , Prog. Cable PK610 with software for V624",Prog. Cable PK610 with software for V624,"Cable Lug for PZU-7 without surface treatment (Defence), XLPE Cable for Working Voltage up to and Including 1.1 KV Marked To IS 7098 (Part 1), Flat Cable, Copper Conductor with PVC Insulation and Sheathed ISI Marked To IS 694, Dynamic Visual Acuity (DVA) For Vertigo Clinics, Flat Cable, Aluminium Conductor with PVC Insulation and Sheathed ISI Marked To IS 694, Aerial Bunched Cable For Working Voltage Upto and Including 1.1 kV Marked To IS 14255, audit and compliance software, Chair for General Purpose, V - Belts - Endless Narrow V - Belts for Industrial use as per IS 14261, traffic signs - bilinker light",Cable Lug for PZU-7 without surface treatment (Defence),Cable network tester,Weak — review,49%
GEM/2026/B/7867286,"ZEROLEAD LIGHT WEIGHT RADIATION PROTECTION APRON WITH LEAD EQUIVALENCY OF 0.50 MM, TWO PIECE WITH SK","ZEROLEAD LIGHT WEIGHT RADIATION PROTECTION APRON WITH LEAD EQUIVALENCY OF 0.50 MM, TWO PIECE WITH SKIRT AND DOUBLE BEREASTED VEST FOR INCREASED PROTECTION WITH ATTENUATION OF ATLEAST 90 % AT 100 KV WITH WARRANTY OF ATLEAST 3 YEARS CF FDA APPROVED",Category not available on GeM for the text string uploaded by the buyer,Radiation protective Lead aprons with accessories,Radiation protective Lead aprons with accessories,Possible match,76%
GEM/2026/B/7858792,"Fabrication of Cable Looms, Testing and Supply of Cable Looms as per Annexure-1 , Supply of DC Distribution Box as per the Specification",Supply of DC Distribution Box as per the Specification,"DC Regulated Power Supply As Per MHA QRs, Towel Hand Cotton Turkish (IAF), Carton Box as per OFB specification, Polyethylene Pipes For The Supply Of Gaseous Fuels (V2) As Per Is 14885, Laboratory Glassware - Burettes (V2) as per IS 1997, Thermal Gloves as per Defence specification, Passive Night Vision Binocular as per MHA QR (V2), Research Lab Kit (Platinum) as per CDAC Specification, Durry Small (IAF), Khaki Anklet Jora (UP)",Power Distribution Box,Power Distribution Box,Weak — review,50%
GEM/2026/B/7848970,Universal Testing Machine,Universal Testing Machine,"ATM Universal testing machine, Sanitary Napkins Incinerator Machine with Smoke Control Unit, Compression Testing Machine, Fatigue Testing Machine, Scrubber Dryer Floor Cleaning Machine (V2), Spring Testing Machine (V2), Sanitary Napkins Vending Machines, Digital Spring Testing Machine, A3 Size Multifunction Printer (MFP), Frying oil testing machine",ATM Universal testing machine,ATM Universal testing machine,Strong match,92.6 / 100
GEM/2026/B/7847685,FTIR Spectrometer,FTIR Spectrometer,"Fourier Transform Infra Red (FTIR) Spectrometer, Fluorescence Spectrometer, Optical Emmision Spectrometer, FTIR MID and NEAR IR DUAL RANGE WITH ATR, FTIR Technology based Milk Analyser, Energy Dispersive X-ray Fluorescence Spectrometer [ED-XRF], Inductively Coupled Plasma Mass Spectrometer (ICPMS) with Accessories (GSI), Gas Chromatography - Triple Quadrupole Mass Spectrometry (GC - MS - MS), Atomic Absorption Spectrophotometer (AAS), Electronic Milk Analyser and adulteration detection equipment",Fourier Transform Infra Red (FTIR) Spectrometer,Fourier Transform Infra Red (FTIR) Spectrometer,Weak — review,72%
GEM/2026/B/7875717,DIA 530 3 JAW HOLLOW HYDRAULIC POWER CHUCK FOR MIVEN WSU-18 (OJ 5675) MACHINE WITH SUCCESFUL INSTA,DIA 530 3 JAW HOLLOW HYDRAULIC POWER CHUCK FOR MIVEN WSU-18 (OJ 5675) MACHINE WITH SUCCESFUL INSTALLATION AND GEOMETRICAL ALIGNMENT. SPARE AND OTHER DETAILS AS PER ANNEXURE 'A' ENCLOSED,Category not available on GeM for the text string uploaded by the buyer,Pulley (Defence),Drill Chucks - IS 2243,Weak — review,55%
GEM/2026/B/7859208,"HYDRAULIC PRESURE SWITCH, MODEL: DG 34 , HYDRAULIC PRESURE SWITCH, MODEL: DG 35","HYDRAULIC PRESURE SWITCH, MODEL: DG 35",Category not available on GeM for the text string uploaded by the buyer,Reed Switch,Digital Pressure Switch,Weak — review,57%
